var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,target,id,race,race_string
-5.475243221097515,5.057541444099384,2.1947817435205574,-3.3015636771185664,2.5075390954182417,-9.480904540675818,-4.88183276281973,-4.736910832150752,1,0,0,majority
3.1634053440756427,-2.8385701406790522,2.530359620813043,1.8951693993271537,1.773576276007026,-0.6610652022465696,-0.4684081450097928,-3.182051456020449,0,1,0,majority
5.007140864111066,3.6781553754218272,6.595353359919166,0.7074215060288359,3.12179135863975,0.9501884007815644,3.5605478152500316,-5.593389512939051,1,2,0,majority
-3.8255095517225772,3.9144656070324095,1.6401739755950577,-2.2023664635647027,3.126078068488118,-8.46321197425007,-4.273984606571353,-3.768729307900218,1,3,0,majority
5.38477416478762,-2.836111748716715,-1.0028079377471681,3.786535944600357,5.721682339132315,-2.273968099530939,-1.3310735483530625,1.786676707886254,1,4,1,minority
4.089190553922219,-3.4236855288161845,2.4298252187722893,1.987176443561984,1.8059505821443893,-3.0328318297833077,-7.106079140771901,2.4502474556714264,0,5,1,minority
6.937791906742802,4.61033554455619,6.9727483742726415,1.3898115941858435,5.833151148634916,-1.8258025241436335,0.2567014322629917,-2.9888129487361397,0,6,0,majority
5.274790162873151,3.0443501165916826,6.233930849534656,1.0529579901644388,3.565416948407289,0.3106461628329795,2.658417599052159,-4.989646631778728,0,7,0,majority
-4.047701202904073,4.487049858047341,1.9656172580384794,-2.3773018410116302,3.492471672361426,-8.867690276579307,-3.8558261775351585,-4.691182756194867,1,8,0,majority
4.707221763154419,-5.837853952621738,-2.982387328415964,4.598351569011689,6.610112441550896,-5.276238508179656,-4.9919712617330285,3.218494269724628,0,9,1,minority
3.3892139236799332,-5.077518677377411,3.1512291069059786,2.6351246665109858,3.303139021959807,-4.191708915766897,-3.883974186789914,-4.492458196117651,1,10,0,majority
4.693365422751961,3.110041733479296,7.0636722324915135,0.4074818658687173,1.4438503317478681,2.5150340767299637,4.1528276103391955,-6.039812511675056,0,11,0,majority
2.981556618208942,-4.089619902492287,1.8624852925526385,2.450088661057719,3.2171613619466726,-3.133729372315612,-2.2416309038918927,-3.471948161090544,1,12,0,majority
