var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,target,id,race,race_string
4.530820021963288,-6.200360312203079,3.1581543390698323,2.727279342214598,3.2961951318188083,-6.845206361697821,-4.642067922171968,-5.3543043394815335,1,0,1,majority
4.2755424874467405,1.9163857825035597,5.712313695008504,1.3037623484396283,6.2862229919734105,-0.44326651273002465,-4.648943365927946,2.9992698393857777,0,1,1,majority
4.259472655421454,-2.812721522529614,4.292126842359763,3.4702493195207507,-1.72097959230192,-2.2659147446047494,2.839689803134666,-4.066692197389304,0,2,0,minority
2.773893642910674,3.860324625494999,4.934603543713198,0.7713695010868762,6.762314315852749,1.2641523597454325,-6.282348112929572,3.1156659896946004,0,3,1,majority
3.389680486492973,-4.050821168792947,-4.944377893065836,-3.122065808848022,1.5427934229722606,-9.232040179125553,-3.6702160986379755,6.118385535728949,1,4,1,majority
5.172180164669951,-3.7664834488558117,-3.256426277440578,-1.6245033685550645,1.5485321951732895,-9.86647621775704,-4.943442818550306,4.144283119474079,1,5,1,majority
6.677984848627522,-0.6718246879481389,3.62457165630501,4.791945697970624,-8.087661626817237,-2.4851180147552747,6.883923406841927,-4.743072329373984,0,6,0,minority
3.3102700691446696,-2.745744807749853,3.5673648668467197,2.5098686661647154,2.5216051857725317,-3.159590134523041,-3.262398636532782,-3.921710123682866,1,7,1,majority
5.003395474467952,1.8621857954703418,6.365614550717801,1.6039922449958546,6.479886766237001,-0.7369700686137641,-4.608198621492463,3.1349244444436843,0,8,1,majority
5.026127766896395,-2.880551880028227,-3.142936450467392,-1.0408882599826657,-0.4856944990167575,-8.706021488281934,-3.1959999721285426,3.13329592304442,1,9,0,minority
4.038004553386511,-4.070818314128447,-3.2869097531934313,-1.5827619103006936,1.4847326709896473,-8.95291214330722,-4.474758463870182,3.1163541039327747,1,10,1,majority
4.53009610981404,2.583338420658996,5.016187220166891,0.5021932773214397,5.0562803180240685,-0.19350832659546835,-2.191078813932205,5.8337090701135805,0,11,1,majority
4.179429268950896,-4.5289714764234175,3.1170095073619026,3.5169738802258905,-4.096005543941132,-3.3460931871894437,5.283969282790635,-5.0668097798852605,0,12,0,minority
3.044123827935927,-5.287850080844343,-5.156970775519831,-2.963886543460466,2.104560854666818,-10.01298098225373,-4.783886686840894,4.572041649182049,1,13,1,majority
4.575695267481918,-3.0953536945414366,4.60226898753535,2.844765276715587,3.106772840440737,-3.8962874175192574,-3.181289981874015,-3.3001924876640794,1,14,1,majority
5.562756863560399,-5.796428145070827,3.819315986271268,3.0881479584142606,2.1462680107397056,-6.72366021840732,-2.734427354517809,-4.561503293330768,1,15,1,majority
4.489660494628262,-3.953899456623653,5.32837444582769,3.3349290917244674,0.012532139307483401,-2.588965450204975,3.0081501266617274,-3.1572200268162867,0,16,0,minority
4.095735279161259,-2.89106321533922,2.671907853802626,3.631588615588778,-5.151802676059957,-2.5691099946043843,4.96039265075906,-5.274648512289616,0,17,0,minority
4.556431534885336,3.263725975492048,5.468138676655025,1.1765759171522625,5.909822466445993,-0.09096036202786315,-5.001457471943345,3.8009601165562032,0,18,1,majority
